.,Czech
EventDeanReturnsBathroomLocked.text,"Když zjistí, že jsou dveře zamčené, Dean Clemens předpokládá, že je koupelna obsazená, a začne se vracet zpět do své kanceláře.\n\nPřesuňte Eugena Clemense, jak je uvedeno."
EventDeanReturnsBathroomLocked.button1,Pokračovat
EventDeanDisappearsIntoBathroom.text,"Eugene konečně dorazí do cíle a zmizí za dveřmi koupelny.\n\nOdstraňte Eugena Clemense z desky."
EventDeanDisappearsIntoBathroom.button1,Pokračovat
EventDeanEarlyReturn.text,"Vrátí se, aniž by se stihl vyčistit, Dean Clemens se vrací do své kanceláře. Vědomi si jeho brzkého návratu, jste se postarali o to, aby jeho věci byly vráceny na své místo.\n\nEugene se posadí do své kožené židle a vrací se ke své práci.\n\nPřesuňte Eugena Clemense, jak je uvedeno, a odstraňte jakýkoliv Žeton Prohledat na jeho stole (pokud tam nějaký zůstal)."
EventDeanEarlyReturn.button1,Pokračovat
TokenDeanAfterReturn.text,"Eugene Clemens se vrátil ke své práci. „Brzy bych měl být připraven na naši schůzku,“ řekne s úsměvem.\n\nVyšetřovatel, který drží Hvězdný kalendář, by mu ho mohl ukázat, pokud mu důvěřujete."
TokenDeanAfterReturn.button1,{action} Odhalit Hvězdný kalendář
EventDeanLeavesBathroom.text,"Po umytí v koupelně se Eugene vrací do své kanceláře.\n\nPřesuňte Eugena Clemense, jak je uvedeno."
EventDeanLeavesBathroom.button1,Pokračovat
TokenDeanHall2ndTime.text,"Pokud se mnou chcete mluvit, přijďte prosím do mé kanceláře."
TokenDeanHall2ndTime.button1,Pokračovat
EventDeanReturnsFullPath.text,"Dean Clemens se konečně vrací do své kanceláře. Vědomi si jeho brzkého návratu, jste se postarali o úklid jeho stolu, abyste zamaskovali své zásahy.\n\nPřesuňte Eugena Clemense, jak je uvedeno, a odstraňte jakýkoliv Žeton Prohledat na jeho stole."
EventDeanReturnsFullPath.button1,Pokračovat
TokenSearchDeanDeskDrawerLock.text,"Zásuvka je zamčená, ale mohli byste se pokusit ji odemknout. Musí v ní být něco důležitého. Můžete se pokusit odemknout zámek {agility}."
TokenSearchDeanDeskDrawerLock.button1,{action} Odemknout zámek
EventUnlockDeanDeskDrawer.text,"Po odemknutí zásuvky vidíte uvnitř ležet osamělý kufřík. Zdá se, že k jeho otevření je potřeba konkrétní kombinace."
PuzzleUnlockDeanDeskDrawer.button1,Vyřešeno
EventUnlockDeanDeskDrawer.button1,Pokračovat
TokenSearchDeanBriefcase.button1,{action} Pokusit se vyřešit hádanku
EventDeanGuiltyEvidence.text,"S nadšením otevřete kufřík, ale částečně litujete svého rozhodnutí, když uvidíte malou skleněnou nádobku. Uvnitř je zakrvavený prst, který musel být uříznut dnes ráno. Jen si můžete představit, jaký osud potkal zbytek těla.\n\nV malé kapse podšívky kufříku spatříte lístek. Rozbalíte ho a s nechutí čtete následující text adresovaný vedení Kultu Zeleného oka:\n\n„Já, Eugene Clemens, děkan Miskatonické univerzity, jsem provedl iniciační oběť. Čerstvý prst v této nádobě je důkazem, že jsem splnil zadaný úkol. Prosím, přijměte mě mezi vaše vážené členy.“\n\nJiž déle nepochybujete o důvěře ke svému starému příteli a sklesle vracíte kufřík i zásuvku zpět na jejich místo, doufaje, že si nevšimne žádných stop po vašem zásahu.\n\nZískejte 2 Žetony Stopy, unikátní předmět Forenzní důkazy a odstraňte tento Žeton Prohledat.\n\nIhned ukončete svůj tah, stáváte se Ochromeným."
TokenSearchDeanBriefcase.text,"Kožený kufřík je uvnitř zásuvky, ale neotevře se bez zadání správné kombinace. Můžete se pokusit vyřešit hádanku {observation}."
PuzzleBriefcaseCode.button1,Vyřešeno
EventDeanGuiltyEvidence.button1,Pokračovat
EventDeanNoEvidence.text,"S úlevou zjistíte, že v kufříku jsou pouze oficiální dokumenty týkající se Miskatonické univerzity a některé z Eugeneových filantropických aktivit. Rychle vrátíte kufřík a zásuvku zpět na své místo, aby nebyly vidět stopy po vašem zásahu.\n\nPřesto nejste ještě přesvědčeni. Vzpomínáte si, že vám před lety Eugene svěřil tajemství, kde se nacházejí jeho speciální úkryty pro věci, které chtěl skrýt před zvědavýma očima svých kolegů na univerzitě. Bohužel, roky vám kalí paměť. Kde to jen bylo?\n\nStáváte se Soustředěným a odstraňte tento Žeton Prohledat."
EventDeanNoEvidence.button1,Pokračovat
TokenExploreMeetingRoomToDean.text,"Tyto dveře vedou do kanceláře děkana Clemense."
TokenExploreMeetingRoomToDean.button1,{action} Prozkoumat
TokenExploreDeanToMeetingRoom.text,"Tyto dveře vedou do zasedací místnosti pro zaměstnance."
TokenExploreDeanToMeetingRoom.button1,{action} Prozkoumat
EventRememberDeansHidingPlace.text,"Snažíte se rozpomenout, kde měl Eugene svůj tajný úkryt {lore}."
EventRememberDeansHidingPlace.button1,Pokračovat
EventRememberHidingPlaceFail.text,"Ať se snažíte sebevíc, prostě si nemůžete vzpomenout, kde to bylo."
EventRememberHidingPlaceFail.button1,Pokračovat
EventRememberHidingPlaceDecent.text,"Vaše vzpomínky jsou nejasné, ale jste si jistí, že tajný úkryt byl buď v podstavci řečnického pultu v zasedací místnosti, nebo ve školním glóbusu ve třídě.\n\nUmístěte 2 Žetony Prohledat dle instrukcí."
EventRememberHidingPlaceDecent.button1,Pokračovat
EventRememberHidingPlacePass.text,"Ach, ano! Vzpomínáte si, že to bylo uvnitř glóbusu ve velké třídě.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventRememberHidingPlacePass.button1,Pokračovat
EventRememberHidingPlacePass2.text,"Ach, ano! Vzpomínáte si, že to bylo uvnitř glóbusu ve velké třídě."
EventRememberHidingPlacePass2.button1,Pokračovat
EventRememberHidingPlaceDecent2.text,"Vaše vzpomínky jsou nejasné, ale jste si jistí, že tajný úkryt byl buď v podstavci řečnického pultu v zasedací místnosti, nebo ve školním glóbusu."
EventRememberHidingPlaceDecent2.button1,Pokračovat
EventRememberHidingPlaceDecent3.text,"Vaše vzpomínky jsou nejasné, ale jste si jistí, že tajný úkryt byl buď v podstavci řečnického pultu v zasedací místnosti, nebo ve školním glóbusu.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventRememberHidingPlaceDecent3.button1,Pokračovat
EventRememberHidingPlaceDecent4.text,"Vaše vzpomínky jsou nejasné, ale jste si jistí, že tajný úkryt byl buď v podstavci řečnického pultu v zasedací místnosti, nebo ve školním glóbusu.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventRememberHidingPlaceDecent4.button1,Pokračovat
TokenEntryHallToClass.text,"Tyto dveře vedou do speciální učebny pro postgraduální kurzy."
TokenEntryHallToClass.button1,{action} Prozkoumat
EventEnterClassroom.text,"Velká učebna je stará a potřebovala by rekonstrukci. Nicméně, její starožitná povaha přidává na jejím kouzlu.\n\nUmístěte {c:TileLargeClass}, jak je uvedeno."
EventEnterClassroom.button1,Pokračovat
EventAddBlackboardSearchToken.text,"Tabule je pokryta různými poznámkami.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddBlackboardSearchToken.button1,Pokračovat
EventAddSchoolDeskSearchToken.text,"Na stole v zadní části místnosti jsou stále rozložené nějaké papíry. Mohl si student zapomenout vzít své poznámky?\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSchoolDeskSearchToken.button1,Pokračovat
EventAddProfessorSmith.text,"Váš starý mentor, profesor Smith, si pročítá některé ze svých poznámek.\n\nUmístěte žeton postavy Profesor Smith, jak je uvedeno."
EventAddProfessorSmith.button1,Pokračovat
EventAddExploreTokenMeetingRoomToClass.text,"Dveře v zadní části třídy by měly vést do zasedací místnosti pro zaměstnance.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenMeetingRoomToClass.button1,Pokračovat
EventAddGuaranteedGlobe.text,"Ach, glóbus, o kterém se vám Eugene svěřil, je v rohu. Měli byste se tam podívat, než dojdete k závěru o jeho vině či nevině.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddGuaranteedGlobe.button1,Pokračovat
EventAddGlobePartialMemory.text,"Ach, tady je ten glóbus, na který jste si vzpomněli. Skrýval tam Eugene své tajemství? Nebo to bylo pódium v zasedací místnosti? Prostě si nejste jisti.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddGlobePartialMemory.button1,Pokračovat
TokenSearchClassBlackboard.text,"Na tabuli je překvapivě velké množství textu. Je to rukopis profesora Smithe?"
TokenSearchClassBlackboard.button1,{action} Prohledat
EventReadBlackboard.text,"Text je uspořádán téměř jako informační schéma o kultech v Brazílii a jejich vzájemných spojeních, stejně jako o pověstných relikviích moci, které tyto kulty údajně vlastní. Je jasné, že pověsti o Hvězdném kalendáři nadále rostou a vzbuzují zvědavost. Doufáte, že je to pouze nevinné pátrání po vědění, a ne zlověstná snaha o získání moci. Ať tak či onak, pochopení, že předmět ve vašem držení je středem takto podrobného výzkumu, vás činí velmi neklidnými.\n\nZískejte 2 Žetony Stopy, vezměte si 1 Kartu Strachu otočenou lícem dolů a odstraňte tento Žeton Prohledat."
EventReadBlackboard.button1,Pokračovat
TokenProfessor.text,"Profesor Smith se plně soustředí na papíry před sebou.\n\nMůžete ho pozdravit, nebo mu ukázat Hvězdný kalendář, pokud mu věříte."
TokenProfessor.button1,{action} Promluvit
TokenProfessor.button2,{action} Odhalit Hvězdný kalendář
EventSpeakToProfessorSmith.text,"Přistoupíte ke svému bývalému mentorovi, pozdravíte ho podáním ruky a přátelským úsměvem. „Už je to dlouho, co jste byl v této třídě! Jak rád vás vidím!“ Se srdečným smíchem se zeptá: „Jste tu pro další vzdělání od starého profesora?“\n\nJeho výraz ve tváři se však brzy změní, když si uvědomí, že nejste v náladě na žerty. „Šíří se zvěsti, že jste byl nedávno na nějaké expedici v zahraničí. Je nějaká šance, že jste šel hledat tu brazilskou relikvii?“\n\nPokoušíte se odklonit otázku a mluvíte o svém zájmu o relikvie a starověké rukopisy, doufaje, že společné zájmy ho odvedou od vaší expedice, dokud se nebudete cítit pohodlně na toto téma začít sami {influence}."
EventSpeakToProfessorSmith.button1,Pokračovat
EventDeflectProfessorFail.text,"Vaše trapné pokusy o odklonění otázky jen přimějí profesora Smithe pozvednout obočí. „Vyhýbáte se otázce, že? Pokud o tom nechcete mluvit, chápu to. Ale pamatujte, že se mi můžete svěřit, pokud něco víte o té relikvii.“ Ale můžete mu opravdu důvěřovat?\n\nOtočte 1 Kartu Strachu lícem nahoru."
EventDeflectProfessorFail.button1,Pokračovat
TokenProfessor2.text,"Profesor Smith je stále plně soustředěný na své čtení.\n\nPokud mu důvěřujete, může vyšetřovatel držící Hvězdný kalendář zvolit možnost ho odhalit."
TokenProfessor2.button1,{action} Odhalit Hvězdný kalendář
EventDeflectProfessorMedium.text,"Vaše lest se zdá být úspěšná, odvede ho od jeho zvídavé otázky a začnete spolu konverzovat o nedávném výzkumu a artefaktech, které univerzitu zajímají. „Víte,“ prohlásí, „nedávno byla univerzitě darována zajímavá nová relikvie. Možná byste ji využil, když jste fanouškem starověkých artefaktů. Koneckonců, nejsem moc na šperky.“\n\nZískejte běžný předmět Hadí náramek a 1 Žeton Stopy."
EventDeflectProfessorMedium.button1,Pokračovat
EventDeflectProfessorPass.text,"Vaše nadšení pro toto téma profesora zcela pohltí. Po krátké diskuzi se profesor Smith usměje a nabídne vám rukopis z hromady papírů, které právě pročítal. „Měl byste si to vzít s sebou. Už to nepotřebuji, a pro vás to bude jistě fascinující.“\n\nZískejte kouzlo Vynucené učení a 1 Žeton Stopy."
EventDeflectProfessorPass.button1,Pokračovat
TokenMeetingRoomToClass.text,"Tyto dveře vedou do speciální učebny pro postgraduální kurzy."
TokenMeetingRoomToClass.button1,{action} Prozkoumat
TokenSearchClassTopRight.text,"Na stole leží několik poznámek. Student je tu pravděpodobně nechal omylem."
TokenSearchClassTopRight.button1,{action} Prohledat
EventClassNotesProfessorGuilty.text,"Poznámky jsou napsány v portugalštině, se kterou máte jisté zkušenosti. Můžete se pokusit poznámky přečíst {lore}."
EventClassNotesProfessorGuilty.button1,Pokračovat
EventClassNotesProfessorInnocent.text,"Poznámky jsou napsány v portugalštině, se kterou máte jisté zkušenosti. Můžete se pokusit poznámky přečíst {lore}."
EventClassNotesProfessorInnocent.button1,Pokračovat
EventStudentNotesReadNoEvidenceYet.button1,Pokračovat
PuzzleStudentNotes.button1,Vyřešeno
EventStudentNotesReadGuiltyEvidence.button1,Pokračovat
EventStudentNotesReadGuiltyEvidence.text,"Vaše znalost portugalštiny se vyplatila. Rozluštili jste dostatek textu, abyste zjistili, že majitel těchto poznámek viděl profesora Smithe stýkat se s členy Kultu Zeleného oka. Zdá se, že tento student zvažoval nahlásit tuto záležitost děkanovi, ale nebyl si jistý, zda mu může důvěřovat.\n\nZískejte unikátní předmět Přesvědčivý důkaz, 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventStudentNotesReadNoEvidenceYet.text,"Při čtení textu zjistíte, že členové Kultu Zeleného oka často navštěvují koleje a areál univerzity a hledají nové členy. Autor těchto poznámek také tvrdí, že tyto zahalené postavy byly spatřeny při rozhovorech s univerzitním personálem. To posiluje váš strach, že zůstává jen málo lidí, kterým můžete důvěřovat. Vezměte si 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}).\n\nZískejte 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventStudentNotesInnocent.text,"Při čtení textu zjistíte, že členové Kultu Zeleného oka často navštěvují koleje a areál univerzity a hledají nové členy. Autor těchto poznámek také tvrdí, že tyto zahalené postavy byly spatřeny při rozhoverech s univerzitním personálem. To posiluje váš strach, že zůstává jen málo lidí, kterým můžete důvěřovat. Vezměte si 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}).\n\nZískejte 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
PuzzleStudentNotes2.button1,Vyřešeno
EventStudentNotesInnocent.button1,Pokračovat
TokenSearchClassGlobeOnly.text,"Vzpomínáte si, že vám Eugene ukázal způsob, jak odemknout glóbus, čímž se dostanete do tajného prostoru. Profesor Smith je natolik ponořen do svého čtení, že by si neměl všimnout, že si hrajete s tak všedním předmětem. Můžete se pokusit vyřešit hádanku {observation}."
TokenSearchClassGlobeOnly.button1,Pokračovat
PuzzleGlobeOnly.button1,Vyřešeno
EventGlobeOnlyGuilty.text,"Malá část glóbusu vystoupí, když dokončíte hádanku. Uvnitř najdete skleněnou nádobku s krvavým prstem, který musel být uříznut dnes ráno. Jen si můžete představit, jaký osud potkal zbytek těla.\n\nMalý lístek je omotaný kolem nádoby. Rozbalíte ho a s nechutí čtete následující text, adresovaný vedení Kultu Zeleného oka:\n\n„Já, Eugene Clemens, děkan Miskatonické univerzity, jsem provedl iniciační oběť. Čerstvý prst v této nádobě je důkazem, že jsem splnil zadaný úkol. Prosím, přijměte mě mezi vaše vážené členy.“\n\nJiž déle nepochybujete o důvěře ke svému starému příteli a sklesle vracíte nádobu a lístek zpět, jak jste je našli, a vracíte glóbus do jeho původní polohy.\n\nZískejte 2 Žetony Stopy, unikátní předmět Forenzní důkazy a odstraňte tento Žeton Prohledat.\n\nIhned ukončete svůj tah a stáváte se Ochromeným."
EventGlobeOnlyGuilty.button1,Pokračovat
EventGlobeOnlyInnocent.text,"S úlevou zjistíte, že uvnitř nic není, jen prach. Když už nemáte žádné další místo, kde byste mohli hledat Eugeneova možná tajemství, dojdete k závěru, že ještě nebyl zkorumpován.\n\nStáváte se Soustředěným a odstraňte tento Žeton Prohledat."
EventGlobeOnlyInnocent.button1,Pokračovat
TokenGlobePossible.text,"Byl to ten tajný úkryt, o kterém vám Eugene před tolika lety mluvil?"
TokenGlobePossible.button1,{action} Prohledat
EventGlobeNotPossibleHidingPlace.button1,Pokračovat
EventGlobeISPossibleHidingPlace.text,"Při zkoumání glóbusu si vzpomínáte na zámek s hádankou, který děkan Clemens vždy používal k otevření tajného prostoru. Profesor Smith je natolik ponořen do svého čtení, že by si neměl všimnout, že si hrajete s tak obyčejným předmětem. Můžete se pokusit vyřešit hádanku {observation}."
EventGlobeNotPossibleHidingPlace.text,"Při zkoumání glóbusu si uvědomíte, že toto nebyl ten správné úkryt.\n\nOdstraňte tento Žeton Prohledat."
EventGlobeISPossibleHidingPlace.button1,Pokračovat
TokenExploreClassToMeetingRoom.text,"Tyto dveře vedou do zasedací místnosti pro zaměstnance."
TokenExploreClassToMeetingRoom.button1,{action} Prohledat
EventEnterMeetingRoom.text,"Je vidět, že se zde v průběhu let konalo mnoho schůzek. Podlaha je pod židlemi poškrábaná, stůl je posetý skvrnami od kávy a stěny jsou mírně zabarvené. Přesto je místnost bez prachu a kromě papírů rozházených na stole je místnost poměrně dobře udržovaná.\n\nUmístěte {c:TileSmallClass}, jak je uvedeno."
EventEnterMeetingRoom.button1,Pokračovat
EventAddSearchTokenMeetingRoomDesk.text,"Papíry na stole by mohly stát za prozkoumání.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenMeetingRoomDesk.button1,Pokračovat
EventAddSearchTokenMeetingRoomShelves.text,"Poličky jsou plné různých kuriozit a knih.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenMeetingRoomShelves.button1,Pokračovat
EventAddExploreTokenDeanToMeeting.text,"Dveře napravo vedou do kanceláře děkana.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenDeanToMeeting.button1,Pokračovat
EventAddExploreTokenMeetingToClass.text,"Dveře u pódia vedou do jediné učebny v této budově.\n\nUmístěte Žeton Prozkoumat, jak je uvedeno."
EventAddExploreTokenMeetingToClass.button1,Pokračovat
SpawnFlyingSerpentMirror.text,"Vzduchem se plazí obrovský had, který vyletí skrz zrcadlo a vznáší se před vámi. Na jeho krku je něco červeného. K vašemu zděšení se dveře zavírají a zamykají za vámi, přičemž kolem nich proudí energetické pole, které vám brání dosáhnout na kliku dveří.\n\nUmístěte Opeřeného hada a přidejte Žeton Prozkoumat, jak je uvedeno. Odstraňte tento Žeton Prohledat."
EventAddSearchTokenSkeleton.button1,Pokračovat
EventAddSearchTokenPodium.text,"Skoro jste zapomněli! Pódium by mohlo být tajným úkrytem, o kterém vám Eugene kdysi vyprávěl.\n\nUmístěte Žeton Prohledat, jak je uvedeno."
EventAddSearchTokenPodium.button1,Pokračovat
TokenSearchMeetingTable.text,"Když se podíváte na papíry, zdá se vám, že vidíte něco napsané rukopisem Howarda Bechmana, hlavního knihovníka. Možná to vypadlo z jeho složky s poznámkami."
TokenSearchMeetingTable.button1,{action} Prohledat
EventMeetingRoomPapersLibrarianGuilty.text,"Při pročítání papírů si všimnete, že jsou napsané nějakým kódem. Vzhledem k tomu, že znáte Howardův způsob myšlení, možná se vám podaří zjistit, co říkají, pokud vynaložíte trochu duševního úsilí ({lore}; 2)."
EventMeetingRoomPapersLibrarianGuilty.button1,Úspěch
EventMeetingRoomPapersLibrarianGuilty.button2,Neúspěch
EventMeetingRoomPapersFail.text,"Bohužel, Howard použil velmi složité šifrování, které se vám nepodaří rozluštit.\n\nOdstraňte tento Žeton Prohledat."
EventMeetingRoomPapersFail.button1,Pokračovat
EventMeetingRoomPapersPassGuiltyEvidence.text,"Netrvá dlouho, než pochopíte Howardův kód. Šokujícím způsobem odhalíte odkazy na jeho členství v Kultu Zeleného oka. Kromě toho mu kult přidělil úkol zjistit historii Hvězdného kalendáře. Nyní víte, že mu nemůžete věřit.\n\nZískejte 2 Žetony Stopy, unikátní předmět Usvědčující důkaz a odstraňte tento Žeton Prohledat."
EventMeetingRoomPapersPassGuiltyEvidence.button1,Pokračovat
EventMeetingRoomPapersPassNOEvidence.text,"Stránky podrobně popisují jeho výzkum Hvězdného kalendáře, přičemž jej označuje pouze jako „Dimenzionální artefakt.“ V jeho poznámkách se tvrdí, že může mít mimozemský původ. To by vysvětlovalo podivné souhvězdí, která jsou vyryta na jeho povrchu, a která podezřele nepřipomínají žádná známá souhvězdí pozorovaná ze Země.\n\nZískejte 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventMeetingRoomPapersPassNOEvidence.button1,Pokračovat
EventMeetingRoomPapersLibrarianInnocent.text,"Stránky podrobně popisují jeho výzkum Hvězdného kalendáře, přičemž jej označuje pouze jako „Dimenzionální artefakt.“ V jeho poznámkách se tvrdí, že může mít mimozemský původ. To by vysvětlovalo podivné souhvězdí, která jsou vyryta na jeho povrchu, a která podezřele nepřipomínají žádná známá souhvězdí pozorovaná ze Země.\n\nZískejte 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventMeetingRoomPapersLibrarianInnocent.button1,Pokračovat
TokenSearchMeetingShelves.text,"Jak se přibližujete, slyšíte zvláštní hučení a vidíte děsivé fialové světlo."
TokenSearchMeetingShelves.button1,{action} Prohledat
EventSearchMeetingRoomShelves.text,"Co to je? Vidíte podivný artefakt, který je zdrojem toho zvuku a světla. Reaguje snad na blízkost Hvězdného kalendáře?"
EventSearchMeetingRoomShelves.button1,Vzít
EventSearchMeetingRoomShelves.button2,Nevzít
EventTakeArtifact.text,"Jakmile uchopíte artefakt, pocítíte, jak vaším tělem proudí ohromná energie. Nutkání si ho ponechat je neodolatelné. Vložíte ho do kapsy, abyste ho uchovali v bezpečí, i když se zdá, že je zdrojem zlé energie.\n\nEnergie proudící vaším tělem je zároveň léčivá i destruktivní. Úplně vyléčte veškerou svou celkovou Příčetnost <b>nebo</b> Zdraví. Pokud vyléčíte svou Příčetnost, vezměte si tolik Karet Zranění otočených lícem dolů. Pokud vyléčíte své Zdraví, vezměte si tolik Karet Strachu otočených lícem dolů.\n\nZískejte unikátní předmět {c:QItemRelic} a 2 Žetony Stopy. Odstraňte tento Žeton Prohledat.\n\nPoznámka: tento předmět je prokletý, takže ho nelze vyměnit ani zahodit. Pokud by událost vyžadovala, abyste tento předmět ztratili, místo toho si vezměte 1 Kartu Zranění otočenou lícem dolů."
EventTakeArtifact.button1,Pokračovat
EventLeaveArtifact.text,"Ze strachu z toho, co by se mohlo stát, pokud ho vezmete, se odvrátíte a doufáte, že jste se rozhodli správně."
EventLeaveArtifact.button1,Pokračovat
TokenSearchSkeleton.text,"Ve vaší vizi jste viděli doktorku Barnettovou, jak něco kreslí do lebky této kostry."
TokenSearchSkeleton.button1,{action} Prohledat
EventSearchSkeleton.text,"Přibližujete se k lebce a hledáte známky jakýchkoliv podivných symbolů."
EventSearchSkeleton.button1,Pokračovat
EventSearchSkeletonDoctorGuilty.button1,Pokračovat
EventSearchSkeletonDoctorInnocent.text,"Když se snažíte kostru lépe prohlédnout, nepodaří se vám uvnitř lebky najít žádné znaky. Avšak pocítíte, jak se kosti začínají chvět, a kostěná ruka náhle sevře vaši paži. Vize byla jen iluzí vytvořenou silami Hvězdného kalendáře, která vás měla vlákat do pasti. Kostra ožije a dveře se s nadpřirozenou energií zapečetí.\n\nVezměte si 3 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}).\n\nUmístěte dva Žetony Prozkoumat, jak je uvedeno."
EventSearchSkeletonDoctorInnocent.button1,Pokračovat
TokenMeetingRoomLeftLocked.text,"Energetické pole chránící dveře znemožňuje dosáhnout na kliku."
TokenMeetingRoomLeftLocked.button1,Pokračovat
TokenMeetingRoomRightLocked.text,"Energetické pole chránící dveře znemožňuje dosáhnout na kliku."
TokenMeetingRoomRightLocked.button1,Pokračovat
SpawnSkeleton.text,"Oční důlky kostry se rozsvítí červeně, když sestupuje z háku, který ji držel na místě. S ďábelským úmyslem na vás natahuje ruce.\n\nUmístěte Kostru, jak je uvedeno, a odstraňte tento Žeton Prohledat."
SpawnSkeleton.button1,Pokračovat
EventSkeletonNoEvidenceYet.text,"Když se kostru lépe prohlédnout, nepodaří se vám uvnitř lebky najít žádné znaky. Avšak pocítíte, jak se kosti začínají chvět, a kostěná ruka náhle sevře vaši paži. Vize byla jen iluzí vytvořenou silami Hvězdného kalendáře, která vás měla vlákat do pasti. Kostra ožije a dveře se s nadpřirozenou energií zapečetí.\n\nVezměte si 3 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will}).\n\nUmístěte dva Žetony Prozkoumat, jak je uvedeno."
EventSkeletonNoEvidenceYet.button1,Pokračovat
EventKillSkeleton.text,"Jakmile se rám kostry rozpadne na hromádku bezvládných kostí, zmizí a vrátí se do své původní podoby, zavěšené na háku, kde jste ji našli. Dveře jsou zbaveny zlověstné energie, která je chránila, a místnost se vrací do stavu, v jakém byla, když jste do ní poprvé vstoupili.\n\nOdstraňte dva Žetony Prozkoumat v této místnosti."
EventKillSkeleton.button1,Pokračovat
EventSkeletonGuiltyEvidence.text,"Při pohledu do lebky kostry vidíte podivné kresby. Rozpoznáváte je jako rituální symboly, které byly nalezeny v souvislosti s Kultem Zeleného oka. Nevíte, co znamenají, ale víte, že to dokazuje vinu doktorky Barnettové.\n\nZískejte unikátní předmět Prostředky pro přípravu rituálu, 2 Žetony Stopy a odstraňte tento Žeton Prohledat."
EventSkeletonGuiltyEvidence.button1,Pokračovat
TokenSearchMeetingPodium.text,"Mohl to být tajný úkryt, o kterém vám Eugene vyprávěl?"
TokenSearchMeetingPodium.button1,Pokračovat
EventPodiumNOTPossibleHidingPlace.text,"Při zkoumání pódia si vzpomenete, že to nebyl úkryt, který vám Eugene před lety ukázal.\n\nOdstraňte tento Žeton Prohledat."
EventPodiumNOTPossibleHidingPlace.button1,Pokračovat
EventPodiumISPossibleHidingPlace.text,"Při zkoumání pódia si vzpomínáte na zámek s hádankou, který děkan Clemens vždy používal k otevření tajného prostoru. Pokuste se vyřešit hádanku {observation}."
EventPodiumISPossibleHidingPlace.button1,Pokračovat
TokenSearchPodiumPuzzle.text,"Můžete se pokusit pokračovat v řešení hádanky {observation}."
PuzzlePodiumPuzzle.button1,Vyřešeno
TokenSearchPodiumPuzzle.button1,{action} Pokusit se
EventPodiumInnocent.text,"S úlevou zjistíte, že uvnitř nic není, jen prach. Když už nemáte žádné další místo, kde byste mohli hledat Eugeneova možná tajemství, dojdete k závěru, že ještě nebyl zkorumpován.\n\nStáváte se Soustředěným a odstraňte tento Žeton Prohledat."
EventPodiumInnocent.button1,Pokračovat
EventPodiumGuilty.text,"Malá část pódia se vysune, když dokončíte hádanku. Uvnitř najdete skleněnou nádobku s krvavým prstem, který musel být uříznut dnes ráno. Jen si můžete představit, jaký osud potkal zbytek těla.\n\nMalý lístek je omotaný kolem nádoby. Rozbalíte ho a s nechutí čtete následující text, adresovaný vedení Kultu Zeleného oka:\n\n„Já, Eugene Clemens, děkan Miskatonické univerzity, jsem provedl iniciační oběť. Čerstvý prst v této nádobě je důkazem, že jsem splnil zadaný úkol. Prosím, přijměte mě mezi vaše vážené členy.“\n\nJiž déle nepochybujete o důvěře ke svému starému příteli a sklesle vracíte nádobu a lístek zpět, jak jste je našli, a vracíte pódium do jeho původní polohy.\n\nZískejte 2 Žetony Stopy, unikátní předmět Forenzní důkazy a odstraňte tento Žeton Prohledat.\n\nIhned ukončete svůj tah a stáváte se Ochromeným."
EventPodiumGuilty.button1,Pokračovat
EventMythosStarCalendar.button1,Tlačítko1
EventTeleport1stTime.button1,Pokračovat
EventMythosStarCalendarTeleport.button1,Pokračovat
SpawnSerpentAfterTeleport.text,"Jedno z „dětí“, o kterých hlas mluvil, se k vám plíží. Je zřejmé, že máte být obětováni na tomto oltáři, stejně jako mnoho dalších před vámi.\n\nUmístěte Hadího člověka, jak je uvedeno."
